CNPJ_CIA;DENOM_CIA;TICKER
07.957.093/0001-96;;NOME_AUSENTE
08.065.557/0001-12;TECNISA SA;TCSA3.SA
08.070.508/0001-78;RAIZEN ENERGIA SA;NAO_ENCONTRADO
08.078.847/0001-09;LPS BRASIL - CONSULTORIA DE IMOVEIS SA;LPSB3.SA
08.159.965/0001-33;IGUA SANEAMENTO SA;NAO_ENCONTRADO
08.170.849/0001-15;DESKTOP SA;DESK3.SA
08.213.823/0001-07;AURA ALMAS MINERAÇÃO SA;NAO_ENCONTRADO
08.294.224/0001-65;JHSF PARTICIPACOES SA;JHSF3.SA
08.312.229/0001-73;EZ TEC EMPREEND. E PARTICIPACOES SA;EZTC3.SA
08.322.396/0001-03;CERRADINHO BIOENERGIA SA;NAO_ENCONTRADO
08.343.492/0001-20;MRV ENGENHARIA E PARTICIPACOES SA;MRVE3.SA
08.364.948/0001-38;ALUPAR INVESTIMENTO S/A;ALUP11.SA
08.397.078/0001-01;GSH CORP PARTICIPAÇÕES SA;NAO_ENCONTRADO
08.402.943/0001-52;GUARARAPES CONFECCOES SA;NAO_ENCONTRADO
08.439.659/0001-50;CPFL ENERGIAS RENOVÁVEIS SA;NAO_ENCONTRADO
08.493.364/0001-62;CIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;NAO_ENCONTRADO
08.534.605/0001-74;RENOVA ENERGIA SA;RNEW4.SA
08.560.444/0001-93;CIA CELG DE PARTICIPACOES - CELGPAR;GPAR3.SA
08.574.411/0001-00;PRÁTICA PRODUTOS SA;NAO_ENCONTRADO
08.613.550/0001-98;NEXPE PARTICIPAÇÕES SA;NEXP3.SA
08.648.295/0001-19;;NOME_AUSENTE
08.684.547/0001-65;;NOME_AUSENTE
08.723.106/0001-25;;NOME_AUSENTE
08.741.499/0001-08;;NOME_AUSENTE
08.764.621/0001-53;GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL SA;GSHP3.SA
08.769.451/0001-08;VIRGO COMPANHIA DE SECURITIZAÇÃO;NAO_ENCONTRADO
08.773.135/0001-00;2W ECOBANK SA;NAO_ENCONTRADO
08.773.191/0001-36;BRASILIANA PARTICIPAÇÕES S/A;NAO_ENCONTRADO
08.797.760/0001-83;CURY CONSTRUTORA E INCORPORADORA SA;CURY3.SA
08.801.621/0001-86;SYN PROP & TECH SA;SYNE3.SA
08.807.432/0001-10;YDUQS PARTICIPACOES SA;YDUQ3.SA
08.811.643/0001-27;TRISUL SA;TRIS3.SA
08.827.501/0001-58;AEGEA SANEAMENTO E PARTICIPAÇÕES SA;NAO_ENCONTRADO
08.873.873/0001-10;ECORODOVIAS CONCESSÕES E SERVIÇOS SA;NAO_ENCONTRADO
08.887.330/0001-52;;NOME_AUSENTE
08.902.291/0001-15;CSN MINERAÇÃO SA;CMIN3.SA
08.926.302/0001-05;PRIO FORTE SA;NAO_ENCONTRADO
08.935.054/0001-50;MULTINER S/A;NAO_ENCONTRADO
09.041.168/0001-10;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;LOGG3.SA
09.042.817/0001-05;BEMOBI MOBILE TECH SA;BMOB3.SA
09.053.134/0001-45;ELFA MEDICAMENTOS SA;NAO_ENCONTRADO
09.054.385/0001-44;INBRANDS SA;NAO_ENCONTRADO
09.112.685/0001-32;OSX BRASIL SA;OSXB3.SA
09.114.805/0001-30;OCEANPACT SERVIÇOS MARITIMOS SA;OPCT3.SA
09.146.451/0001-06;KALLAS INCORPORAÇÕES E CONSTRUÇÕES SA;NAO_ENCONTRADO
09.149.503/0001-06;SERENA GERAÇÃO SA;NAO_ENCONTRADO
09.229.201/0001-30;GPS PARTICIPAÇÕES E EMPREENDIMENTOS SA;GGPS3.SA
09.267.996/0001-70;YUNY INCORPORADORA HOLDING SA;NAO_ENCONTRADO
09.288.252/0001-32;ANIMA HOLDING SA;ANIM3.SA
09.295.063/0001-97;TECHNOS SA;TECN3.SA
09.305.994/0001-29;AZUL SA;AZUL4.SA
09.346.601/0001-25;B3 SA - BRASIL, BOLSA, BALCÃO;B3SA3.SA
09.347.516/0001-81;ELETROMIDIA SA;ELMD3.SA
09.358.105/0001-91;;NOME_AUSENTE
09.359.927/0001-97;ASA BRANCA HOLDING SA;NAO_ENCONTRADO
09.462.140/0001-56;;NOME_AUSENTE
09.527.023/0001-23;ENVIRONMENTAL ESG PARTICIPAÇÕES SA;ESPA3.SA
09.601.322/0001-60;;NOME_AUSENTE
09.611.768/0001-76;INC EMPREENDIMENTOS IMOBILIÁRIOS SA;NAO_ENCONTRADO
09.813.204/0001-16;W2W E-COMMERCE DE VINHOS SA;NAO_ENCONTRADO
10.139.870/0001-08;NEOGRID PARTICIPAÇÕES SA;NGRD3.SA
10.215.988/0001-60;COMPANHIA DE LOCAÇÃO DAS AMÉRICAS;LCAM3.SA
10.285.590/0001-08;GRUPO DE MODA SOMA SA;SOMA3.SA
10.324.624/0001-18;;NOME_AUSENTE
10.345.009/0001-98;;NOME_AUSENTE
10.452.416/0001-02;REAG CAPITAL HOLDING SA;NAO_ENCONTRADO
10.571.175/0001-02;URBA DESENVOLVIMENTO URBANO SA;NAO_ENCONTRADO
10.629.105/0001-68;PRIO SA;PRIO3.SA
10.739.356/0001-03;BRBI BR PARTNERS SA;BRBI11.SA
10.747.021/0001-29;;NOME_AUSENTE
10.760.260/0001-19;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS SA;CVCB3.SA
10.851.805/0001-00;;NOME_AUSENTE
11.102.250/0001-59;;NOME_AUSENTE
11.284.204/0001-18;YOU INC INCORPORADORA E PARTICIPAÇÃO SA;NAO_ENCONTRADO
11.395.624/0001-71;;NOME_AUSENTE
11.421.994/0001-36;ORIZON VALORIZAÇÃO DE RESÍDUOS SA;ORVR3.SA
11.423.623/0001-93;;NOME_AUSENTE
11.566.501/0001-56;;NOME_AUSENTE
11.669.021/0001-10;ENAUTA PARTICIPAÇÕES SA;ENAT3.SA
11.721.921/0001-60;ALPER CONSULTORIA E CORRETORA DE SEGUROS SA;APER3.SA
11.725.176/0001-27;;NOME_AUSENTE
11.992.680/0001-93;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS SA;QUAL3.SA
12.049.631/0001-84;MOURA DUBEUX ENGENHARIA S/A;MDNE3.SA
12.091.809/0001-55;BRAVA ENERGIA SA;NAO_ENCONTRADO
12.104.241/0004-02;ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS SA;ONCO3.SA
12.108.897/0001-50;D1000 VAREJO FARMA PARTICIPAÇÕES SA;DMVF3.SA
12.126.500/0001-53;;NOME_AUSENTE
12.181.987/0001-77;MELNICK DESENVOLVIMENTO IMOBILIÁRIO SA;MELK3.SA
12.420.164/0001-57;CM HOSPITALAR SA;VVEO3.SA
12.528.708/0001-07;AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. SA;AERI3.SA
12.648.266/0001-24;AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS SA;AMBP3.SA
12.648.327/0001-53;HIDROVIAS DO BRASIL SA;HBSA3.SA
13.217.485/0001-11;GRUPO SBF SA;SBFG3.SA
13.270.520/0001-66;KORA SAÚDE PARTICIPAÇÕES SA;KRSA3.SA
13.324.184/0001-97;;NOME_AUSENTE
13.444.994/0001-87;MLOG SA;NAO_ENCONTRADO
13.457.942/0001-45;;NOME_AUSENTE
13.522.948/0001-59;SAFIRA HOLDING SA;NAO_ENCONTRADO
13.574.594/0001-96;ZAMP SA;ZAMP3.SA
13.584.310/0001-42;SUGOI SA;NAO_ENCONTRADO
13.783.221/0004-78;MADERO INDÚSTRIA E COMÉRCIO SA;NAO_ENCONTRADO
14.110.585/0001-07;MÉLIUZ SA;CASH3.SA
14.191.427/0001-29;GRANBIO INVESTIMENTOS SA;NAO_ENCONTRADO
14.200.586/0001-42;;NOME_AUSENTE
14.212.464/0001-76;;NOME_AUSENTE
14.308.514/0001-13;;NOME_AUSENTE
14.785.152/0001-51;HBR REALTY EMPREENDIMENTOS IMOBILIÁRIOS SA;HBRE3.SA
14.807.945/0001-24;SANSUY SA INDUSTRIA DE PLASTICOS;NAO_ENCONTRADO
14.882.295/0001-81;CBO HOLDING SA;NAO_ENCONTRADO
14.998.371/0001-19;J. MACEDO SA;NAO_ENCONTRADO
15.101.405/0001-93;;NOME_AUSENTE
15.115.504/0001-24;;NOME_AUSENTE
15.141.799/0001-03;CIA FERRO LIGAS DA BAHIA - FERBASA;FESA4.SA
15.527.906/0001-36;;NOME_AUSENTE
15.912.764/0001-20;;NOME_AUSENTE
16.103.773/0001-33;;NOME_AUSENTE
